"","lon","lat","address","zip","city","state","x2020_01","quartile","state_name","region","division"
"891",-84.4676939,39.263342,"10600 springfield pike, cincinnati, oh 45215, usa","45215","Wyoming","OH",144484,"q2","Ohio","Midwest","East North Central"
"892",-79.7923249,36.0600579,"1235 s eugene st, greensboro, nc 27406, usa","27406","Greensboro","NC",135032,"q2","North Carolina","South","South Atlantic"
"893",-85.5021585,36.150217,"575 s jefferson ave, cookeville, tn 38501, usa","38501","Cookeville","TN",164450,"q3","Tennessee","South","East South Central"
"894",-87.9113381,42.9862998,"153 w oklahoma ave, milwaukee, wi 53207, usa","53207","Milwaukee","WI",180221,"q3","Wisconsin","Midwest","East North Central"
"895",-112.276124,33.5073381,"10005 w camelback rd, phoenix, az 85037, usa","85037","Phoenix","AZ",210380,"q3","Arizona","West","Mountain"
"896",-74.710787,40.2720546,"2901 brunswick pike, lawrenceville, nj 08648, usa","08648",NA,NA,NA,"q4",NA,NA,NA
"897",-86.9078974,40.4542034,"200 sagamore pkwy w, west lafayette, in 47906, usa","47906","West Lafayette","IN",232217,"q3","Indiana","Midwest","East North Central"
"898",-97.7955377,32.7369342,"1801 s main st, weatherford, tx 76086, usa","76086","Weatherford","TX",182409,"q3","Texas","South","West South Central"
"899",NA,NA,NA,NA,NA,NA,NA,"q4",NA,NA,NA
"900",-87.2383797,41.4248663,"10645 randolph st, crown point, in 46307, usa","46307","Crown Point","IN",243922,"q3","Indiana","Midwest","East North Central"
"901",-118.3453295,34.0599637,"817 south la brea ave, los angeles, ca 90036, usa","90036","Los Angeles","CA",1631627,"q4","California","West","Pacific"
"902",-71.1019808,42.3641548,"520 massachusetts ave, cambridge, ma 02139, usa","02139",NA,NA,NA,"q4",NA,NA,NA
"903",-78.5739811,35.8411744,"4401 n new hope rd store 4401, raleigh, nc 27604, usa","27604","Raleigh","NC",217814,"q3","North Carolina","South","South Atlantic"
"904",-92.3573742,42.4601113,"3626 kimball ave, waterloo, ia 50702, usa","50702","Waterloo","IA",107416,"q2","Iowa","Midwest","West North Central"
"905",-97.4003966,35.4356525,"7195 se 29th st, midwest city, ok 73110, usa","73110","Midwest City","OK",88488,"q1","Oklahoma","South","West South Central"
"906",-122.2148148,47.2941291,"1519 auburn way s, auburn, wa 98002, usa","98002","Auburn","WA",347293,"q4","Washington","West","Pacific"
"907",-81.7028466,26.1841644,"4701 golden gate pkwy, naples, fl 34116, usa","34116","Naples","FL",270174,"q4","Florida","South","South Atlantic"
"908",-83.9495765,35.7560259,"1703 e lamar alexander pkwy suite b, maryville, tn 37804, usa","37804","Maryville","TN",185311,"q3","Tennessee","South","East South Central"
"909",-80.7725594,37.0487108,"501 e main st, pulaski, va 24301, usa","24301","Pulaski","VA",115335,"q2","Virginia","South","South Atlantic"
"910",-118.529272,34.4341389,"26883 bouquet canyon rd, santa clarita, ca 91350, usa","91350","Santa Clarita","CA",573721,"q4","California","West","Pacific"
"911",-79.9255868,40.4598705,"5993 centre ave, pittsburgh, pa 15206, usa","15206","Pittsburgh","PA",216038,"q3","Pennsylvania","Northeast","Middle Atlantic"
"912",-80.9045706,35.6050866,"1086 river hwy, mooresville, nc 28117, usa","28117","Mooresville","NC",394907,"q4","North Carolina","South","South Atlantic"
"913",-82.1092154,33.5130415,"4074 washington rd, augusta, ga 30907, usa","30907","Martinez","GA",167848,"q3","Georgia","South","South Atlantic"
"914",-121.6457341,39.1425874,"1641 colusa hwy #500, yuba city, ca 95993, usa","95993","Yuba City","CA",351703,"q4","California","West","Pacific"
"915",-118.4118376,34.2757063,"12755 van nuys blvd, pacoima, ca 91331, usa","91331","Los Angeles","CA",517645,"q4","California","West","Pacific"
"916",-82.5420872,40.7249638,"1280 lexington ave, mansfield, oh 44907, usa","44907","Mansfield","OH",96096,"q1","Ohio","Midwest","East North Central"
"917",-121.6529802,36.7027723,"1325 n main st, salinas, ca 93906, usa","93906","Salinas","CA",469243,"q4","California","West","Pacific"
"918",-80.4788768,25.5873495,"19120 sw 177th ave, miami, fl 33187, usa","33187","Richmond West","FL",395123,"q4","Florida","South","South Atlantic"
"919",-121.0632947,37.6924972,"3900 sisk rd ste a1, modesto, ca 95356, usa","95356","Modesto","CA",372283,"q4","California","West","Pacific"
"920",-112.3649868,33.6658034,"19109 w r h johnson blvd, sun city west, az 85375, usa","85375","Sun City West","AZ",266105,"q4","Arizona","West","Mountain"
"921",-121.8323302,37.2520148,"461 blossom hill rd, san jose, ca 95123, usa","95123","San Jose","CA",935393,"q4","California","West","Pacific"
"922",-81.448756,39.441099,"1303 colegate dr, marietta, oh 45750, usa","45750","Marietta","OH",132291,"q2","Ohio","Midwest","East North Central"
"923",-116.8937865,47.7223652,"4040 e 16th ave, post falls, id 83854, usa","83854","Post Falls","ID",318576,"q4","Idaho","West","Mountain"
"924",-77.4764335,37.7114558,"11045 lewistown rd, ashland, va 23005, usa","23005","Ashland","VA",282692,"q4","Virginia","South","South Atlantic"
"925",-84.893749,32.519627,"5435 woodruff farm rd suite c-400columbus, columbus, ga 31907, usa","31907","Columbus","GA",94407,"q1","Georgia","South","South Atlantic"
