"","zip","city","state","metro","county_name","x2020_01"
"13303","18232","Lansford","PA","Allentown-Bethlehem-Easton","Carbon County",38958
"13304","12816","Jackson","NY","Glens Falls","Washington County",177259
"13305","31089","Tennille","GA","","Washington County",78991
"13306","6043","Bolton","CT","Hartford-West Hartford-East Hartford","Tolland County",256784
"13307","31055","Mc Rae","GA","","Telfair County",63298
"13308","1373","South Deerfield","MA","Greenfield Town","Franklin County",274776
"13309","21104","Marriottsville","MD","Baltimore-Columbia-Towson","Howard County",525044
"13310","37714","Caryville","TN","Knoxville","Campbell County",120712
"13311","56310","Avon","MN","St. Cloud","Stearns County",264634
"13312","27235","High Point","NC","Greensboro-High Point","Guilford County",265621
"13313","33839","Eagle Lake","FL","Lakeland-Winter Haven","Polk County",156449
"13314","17519","East Earl Township","PA","Lancaster","Lancaster County",273446
"13315","72422","Corning","AR","","Clay County",57062
"13316","6331","Canterbury","CT","Worcester","Windham County",227409
"13317","27563","Norlina","NC","","Warren County",77941
"13318","49709","Atlanta","MI","","Montmorency County",83947
"13319","21161","Whitehall","MD","Baltimore-Columbia-Towson","Harford County",387769
"13320","98266","Maple Falls","WA","Bellingham","Whatcom County",232738
"13321","77435","East Bernard","TX","El Campo","Wharton County",215326
"13322","54646","Necedah","WI","","Juneau County",113442
"13323","59644","Townsend","MT","","Broadwater County",237873
"13324","38549","Byrdstown","TN","","Pickett County",130330
"13325","75158","Scurry","TX","Dallas-Fort Worth-Arlington","Kaufman County",231442
"13326","29384","Waterloo","SC","Greenville-Anderson-Mauldin","Laurens County",72847
"13327","37658","Hampton","TN","Johnson City","Carter County",108619
"13328","89086","North Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",303362
"13329","59722","Deer Lodge","MT","","Powell County",156177
"13330","48023","Fair Haven","MI","Detroit-Warren-Dearborn","Saint Clair County",246151
"13331","29810","Allendale","SC","","Allendale County",33779
"13332","30104","Aragon","GA","Cedartown","Polk County",112534
"13333","19946","Frederica","DE","Dover","Kent County",221879
