"","X","lon","lat","X.1","zip","city","state","metro","county_name","x2020_01","quartile","rating","address","region"
"75",75,-95.4933071,29.6166263,NA,"80904","Colorado Springs","CO","Colorado Springs","El Paso County",318874,"q4",3.5,"2324 w colorado ave, colorado springs, co 80904, usa","West"
"76",76,-84.7484663,39.5079406,NA,"92395","Victorville","CA","Riverside-San Bernardino-Ontario","San Bernardino County",254102,"q3",3.5,"16970 bear valley rd, victorville, ca 92395, usa","West"
"77",77,-157.895076,21.3362215,NA,"78258","San Antonio","TX","San Antonio-New Braunfels","Bexar County",352581,"q4",3.5,"7401, 21230 us-281, san antonio, tx 78258, usa","South"
"78",78,-80.361605,36.265568,NA,"17519","East Earl Township","PA","Lancaster","Lancaster County",273446,"q4",3.5,"1367 weaverland rd, east earl, pa 17519, usa","Northeast"
"79",79,-110.9305634,32.163275,NA,"97210","Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",803171,"q4",3.5,"2215 w burnside st, portland, or 97210, usa","West"
"80",80,-122.6988974,38.448654,NA,"16801","State College","PA","State College","Centre County",306936,"q4",3.5,"424 westerly pkwy, state college, pa 16801, usa","Northeast"
"81",81,-117.170264,34.0471291,NA,"76148","Watauga","TX","Dallas-Fort Worth-Arlington","Tarrant County",190929,"q3",3.5,"7201 rufe snow dr, watauga, tx 76148, usa","South"
"82",82,-108.5979871,39.0962355,NA,"34711","Clermont","FL","Orlando-Kissimmee-Sanford","Lake County",279566,"q4",3.5,"1855 s grand hwy, clermont, fl 34711, usa","South"
"83",83,-117.3523715,33.1770706,NA,"30062","Marietta","GA","Atlanta-Sandy Springs-Roswell","Cobb County",354485,"q4",3.5,"1355 roswell rd, marietta, ga 30062, usa","South"
"84",84,-97.722385,26.186052,NA,"32246","Jacksonville","FL","Jacksonville","Duval County",210815,"q3",3.5,"11160 beach blvd, jacksonville, fl 32246, usa","South"
"85",85,-77.290316,38.8442198,NA,"97070","Wilsonville","OR","Portland-Vancouver-Hillsboro","Clackamas County",472021,"q4",3.5,"8275 sw wilsonville rd, wilsonville, or 97070, usa","West"
"86",86,-157.8461269,21.302382,NA,"90404","Santa Monica","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1052825,"q4",3.5,"2520 santa monica blvd, santa monica, ca 90404, usa","West"
"87",87,-96.357507,30.646774,NA,"10035","New York","NY","New York-Newark-Jersey City","New York County",643280,"q4",3.5,"2211 3rd ave, new york, ny 10035, usa","Northeast"
"88",88,-95.2902415,32.391266,NA,"94025","Menlo Park","CA","San Francisco-Oakland-Hayward","San Mateo County",2240201,"q4",3.5,"711 santa cruz ave, menlo park, ca 94025, usa","West"
"89",89,-70.2533184,43.6351845,NA,"43147","Pickerington","OH","Columbus","Fairfield County",260458,"q3",3.5,"1771 hill rd n, pickerington, oh 43147, usa","Midwest"
"90",90,-81.7308809,41.049818,NA,"61354","Peru","IL","Ottawa-Peru","La Salle County",109722,"q2",3.5,"1307 38th st, peru, il 61354, usa","Midwest"
"91",91,-94.6520983,31.6024531,NA,"33009","Hallandale","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",214138,"q3",3.5,"3149 w hallandale beach blvd, hallandale beach, fl 33009, usa","South"
