"","zip","state","state_name","city","x2020_01","region","division"
"190","34135","FL","Florida","Bonita Springs",293156,"South","South Atlantic"
"191","87120","NM","New Mexico","Albuquerque",214370,"West","Mountain"
"192","27410","NC","North Carolina","Greensboro",237967,"South","South Atlantic"
"193","75035","TX","Texas","Frisco",391520,"South","West South Central"
"194","98103","WA","Washington","Seattle",819347,"West","Pacific"
"195","77450","TX","Texas","Cinco Ranch",261942,"South","West South Central"
"196","95747","CA","California","Roseville",511108,"West","Pacific"
"197","89121","NV","Nevada","Las Vegas",238009,"West","Mountain"
"198","27406","NC","North Carolina","Greensboro",135032,"South","South Atlantic"
"199","92804","CA","California","Anaheim",608162,"West","Pacific"
"200","8753","NJ","New Jersey","Toms River",278325,"Northeast","Middle Atlantic"
"201","75228","TX","Texas","Dallas",204058,"South","West South Central"
"202","92126","CA","California","San Diego",635543,"West","Pacific"
"203","10028","NY","New York","New York",950245,"Northeast","Middle Atlantic"
"204","60634","IL","Illinois","Chicago",270864,"Midwest","East North Central"
"205","20011","DC","District of Columbia","Washington",691206,"South","South Atlantic"
"206","43130","OH","Ohio","Lancaster",156963,"Midwest","East North Central"
"207","76244","TX","Texas","Fort Worth",271816,"South","West South Central"
"208","92503","CA","California","Riverside",412248,"West","Pacific"
"209","91911","CA","California","Chula Vista",505992,"West","Pacific"
"210","29732","SC","South Carolina","Rock Hill",202308,"South","South Atlantic"
"211","32218","FL","Florida","Jacksonville",194432,"South","South Atlantic"
"212","22191","VA","Virginia","Woodbridge",336962,"South","South Atlantic"
"213","28314","NC","North Carolina","Fayetteville",123209,"South","South Atlantic"
"214","32256","FL","Florida","Jacksonville",212671,"South","South Atlantic"
"215","11233","NY","New York","New York",858977,"Northeast","Middle Atlantic"
"216","23320","VA","Virginia","Chesapeake",258461,"South","South Atlantic"
"217","40475","KY","Kentucky","Richmond",185268,"South","East South Central"
"218","21740","MD","Maryland","Hagerstown",177098,"South","South Atlantic"
"219","92101","CA","California","San Diego",587989,"West","Pacific"
"220","90019","CA","California","Los Angeles",1092878,"West","Pacific"
"221","34711","FL","Florida","Clermont",279566,"South","South Atlantic"
"222","30052","GA","Georgia","Loganville",234942,"South","South Atlantic"
"223","38401","TN","Tennessee","Columbia",211478,"South","East South Central"
"224","77095","TX","Texas","Houston",227724,"South","West South Central"
"225","7002","NJ","New Jersey","Bayonne",394893,"Northeast","Middle Atlantic"
"226","30041","GA","Georgia","Cumming",377002,"South","South Atlantic"
"227","60016","IL","Illinois","Des Plaines",261541,"Midwest","East North Central"
"228","33009","FL","Florida","Hallandale",214138,"South","South Atlantic"
"229","94536","CA","California","Fremont",1017474,"West","Pacific"
"230","89052","NV","Nevada","Henderson",421967,"West","Mountain"
"231","74012","OK","Oklahoma","Broken Arrow",167845,"South","West South Central"
"232","10457","NY","New York","New York",234677,"Northeast","Middle Atlantic"
"233","80634","CO","Colorado","Greeley",333652,"West","Mountain"
"234","43026","OH","Ohio","Hilliard",250574,"Midwest","East North Central"
"235","92592","CA","California","Temecula",490701,"West","Pacific"
"236","43230","OH","Ohio","Gahanna",232763,"Midwest","East North Central"
"237","89117","NV","Nevada","Las Vegas",332930,"West","Mountain"
"238","30080","GA","Georgia","Smyrna",304221,"South","South Atlantic"
"239","20001","DC","District of Columbia","Washington",709018,"South","South Atlantic"
"240","27834","NC","North Carolina","Greenville",111008,"South","South Atlantic"
"241","90280","CA","California","South Gate",471199,"West","Pacific"
"242","29072","SC","South Carolina","Lexington",238446,"South","South Atlantic"
"243","46227","IN","Indiana","Indianapolis",156933,"Midwest","East North Central"
"244","32244","FL","Florida","Jacksonville",172324,"South","South Atlantic"
"245","21117","MD","Maryland","Owings Mills",272658,"South","South Atlantic"
"246","10027","NY","New York","New York",596167,"Northeast","Middle Atlantic"
"247","19111","PA","Pennsylvania","Philadelphia",205537,"Northeast","Middle Atlantic"
"248","90201","CA","California","Bell",469585,"West","Pacific"
"249","91730","CA","California","Rancho Cucamonga",466510,"West","Pacific"
"250","48103","MI","Michigan","Ann Arbor",400328,"Midwest","East North Central"
"251","11236","NY","New York","New York",543845,"Northeast","Middle Atlantic"
"252","75206","TX","Texas","Dallas",428177,"South","West South Central"
"253","90004","CA","California","Los Angeles",1298176,"West","Pacific"
