"","lon","lat","address","zip","city","state","metro","county_name","x2020_01"
"4256",-88.2776705,41.8167023,"1543 mesa ln, aurora, il 60502, usa","60502","Aurora","IL","Chicago-Naperville-Elgin","Kane County",284232
"4257",-82.337856,36.3035034,"2004 s roan st, johnson city, tn 37604, usa","37604","Johnson City","TN","Johnson City","Washington County",156912
"4258",-81.1746637,42.7634488,"321 elm st, st thomas, on n5r 5x6, canada","canada",NA,NA,NA,NA,NA
"4259",-79.9988933,32.9349491,"1000 tanner ford blvd, hanahan, sc 29410, usa","29410","Hanahan","SC","Charleston-North Charleston","Berkeley County",252788
"4260",-117.0198281,32.764902,"8250 la mesa blvd, la mesa, ca 91942, usa","91942","La Mesa","CA","San Diego-Carlsbad","San Diego County",537032
"4261",-121.4657033,38.506868,"6626 franklin blvd, sacramento, ca 95823, usa","95823","Sacramento","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",299267
"4262",-96.8425539,32.9986717,"18230 midway rd, dallas, tx 75287, usa","75287","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",331182
"4263",-80.031049,32.9165172,"2150 eagle dr building 100, north charleston, sc 29406, usa","29406","North Charleston","SC","Charleston-North Charleston","Charleston County",166323
"4264",-80.5922497,28.1817596,"1150 florida a1a, satellite beach, fl 32937, usa","32937","Satellite Beach","FL","Palm Bay-Melbourne-Titusville","Brevard County",332709
"4265",-80.8864401,35.4825262,"kunkleman dr, cornelius, nc 28031, usa","28031","Cornelius","NC","Charlotte-Concord-Gastonia","Mecklenburg County",321486
"4266",-95.5547551,30.1269394,"25201 kuykendahl rd #250tomball, tomball, tx 77375, usa","77375","Tomball","TX","Houston-The Woodlands-Sugar Land","Harris County",228782
"4267",-89.836061,35.1723574,"1740 whitten rd, memphis, tn 38134, usa","38134","Memphis","TN","Memphis","Shelby County",150977
"4268",-121.9944069,37.2938645,"5285 prospect rd, san jose, ca 95129, usa","95129","San Jose","CA","San Jose-Sunnyvale-Santa Clara","Santa Clara County",1762136
"4269",-92.5468366,47.5232181,"chestnut st, virginia, mn 55792, usa","55792","Virginia","MN","Duluth","Saint Louis County",93457
"4270",-89.9520676,38.7766825,"210 jct dr w, glen carbon, il 62034, usa","62034","Glen Carbon","IL","St. Louis","Madison County",219461
"4271",-82.9954058,34.6894096,"1616 sandifer blvd, seneca, sc 29678, usa","29678","Seneca","SC","Seneca","Oconee County",145202
"4272",-119.2944702,34.280618,"404 e main st, ventura, ca 93001, usa","93001","Ventura","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",651751
"4273",-80.2933838,36.2404158,"rural hall, nc, usa","nc",NA,NA,NA,NA,NA
"4274",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4275",-119.808196,36.822852,"797 w bullard ave, fresno, ca 93704, usa","93704","Fresno","CA","Fresno","Fresno County",252378
"4276",-117.5630395,47.4997363,"6 cheney spokane rd, cheney, wa 99004, usa","99004","Cheney","WA","Spokane-Spokane Valley","Spokane County",286064
"4277",-80.0289227,32.9192152,"rivers ave, north charleston, sc 29406, usa","29406","North Charleston","SC","Charleston-North Charleston","Charleston County",166323
"4278",-122.6968856,45.523575,"2215 w burnside st, portland, or 97210, usa","97210","Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",803171
"4279",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4280",-92.3318117,39.084727,"500 e dripping springs rd, columbia, mo 65202, usa","65202","Columbia","MO","Columbia","Boone County",159129
"4281",-81.7666938,26.2709806,"2700 immokalee rd #18naples, naples, fl 34110, usa","34110","Naples","FL","Naples-Immokalee-Marco Island","Collier County",373632
"4282",-94.9251536,32.53268,"1640 e broadway ave, gladewater, tx 75647, usa","75647","Gladewater","TX","Longview","Gregg County",148042
