"","lon","lat","address","zip","city","state","metro","county_name","x2020_01","quartile"
"309",-84.3820554,33.7728215,"160 ponce de leon ave ne, atlanta, ga 30308, usa","30308","Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",290460,"q4"
"310",-91.657211,42.034796,"1441 blairs ferry rd ne, cedar rapids, ia 52402, usa","52402","Cedar Rapids","IA","Cedar Rapids","Linn County",149497,"q2"
"311",-79.0625692,35.0310168,"9550 cliffdale rd, fayetteville, nc 28314, usa","28314","Fayetteville","NC","Fayetteville","Cumberland County",123209,"q2"
"312",-75.8764518,40.3299966,"3001 st lawrence ave, reading, pa 19606, usa","19606","Exeter Township","PA","Reading","Berks County",183839,"q3"
"313",-79.7509843,39.9098255,"1003 mall run rd, uniontown, pa 15401, usa","15401","Uniontown","PA","Pittsburgh","Fayette County",109633,"q2"
"314",-78.9223269,40.3265737,"248 main st, johnstown, pa 15901, usa","15901","Johnstown","PA","Johnstown","Cambria County",22637,"q1"
"315",-83.6820434,42.2340772,"3782 carpenter rd, ypsilanti, mi 48197, usa","48197","Ypsilanti","MI","Ann Arbor","Washtenaw County",235532,"q3"
"316",-118.6018871,34.1994957,"7107 owensmouth ave, canoga park, ca 91303, usa","91303","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",549441,"q4"
"317",-77.8516421,40.7829331,"424 westerly pkwy, state college, pa 16801, usa","16801","State College","PA","State College","Centre County",306936,"q4"
"318",-91.4694338,39.3177297,"1295 us-54, vandalia, mo 63382, usa","63382","Vandalia","MO","Mexico","Audrain County",64274,"q1"
"319",-80.4987003,35.6675636,"836 jake alexander blvd w, salisbury, nc 28147, usa","28147","Salisbury","NC","Charlotte-Concord-Gastonia","Rowan County",177804,"q3"
"320",-91.3457946,37.9695503,"47 mo-8, steelville, mo 65565, usa","65565","Steelville","MO","","Crawford County",119302,"q2"
"321",-97.23895,32.876535,"7201 rufe snow dr, watauga, tx 76148, usa","76148","Watauga","TX","Dallas-Fort Worth-Arlington","Tarrant County",190929,"q3"
"322",-86.2554713,42.4024638,"340 73.50 st, south haven, mi 49090, usa","49090","South Haven","MI","Kalamazoo-Portage","Van Buren County",226862,"q3"
"323",-118.4357572,34.0370898,"11151 w pico blvd, los angeles, ca 90064, usa","90064","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1570843,"q4"
"324",-75.264586,39.9408709,"201 e baltimore ave, lansdowne, pa 19050, usa","19050","Lansdowne","PA","Philadelphia-Camden-Wilmington","Delaware County",147344,"q2"
